Name;Land.code
47551;5
52477;5
52159;5
52156;5
52152;5
52382;5
54298;7
47506;5
54647;7
54316;7
47139;5
50259;5
40468;5
54552;7
40470;5
40599;5
54413;7
45475;5
50739;5
66636;10
66117;10
50968;5
56825;7
53125;5
55767;7
48720;5
79822;8
35759;6
76437;8
49143;3
26122;3
76532;8
79790;8
55252;6
76764;7
35684;6
76189;8
67577;7
26936;3
67365;7
59557;5
27801;3
59602;5
67117;7
57614;7
56307;7
66862;7
55596;7
56337;7
67732;7
56348;7
67759;7
79429;8
56349;7
67697;7
49497;5
56132;7
65391;7
57627;7
57520;7
49536;5
67808;7
67693;7
67728;7
59469;5
65582;7
65626;7
67468;7
55578;7
59519;5
59823;5
57234;5
67308;7
77787;8
67157;7
26903;3
26465;3
66504;7
56323;7
58515;5
48159;5
56743;7
55776;7
55483;7
56751;7
24783;1
73054;8
73113;8
36277;6
88471;8
37120;3
30629;3
29649;3
88260;8
31137;3
24399;1
73566;8
37075;3
97657;9
20359;2
73434;8
97647;9
23812;1
24113;1
73433;8
97534;9
22159;2
89520;8
99819;16
89168;8
37197;3
87779;9
87752;9
89567;8
89428;9
24638;1
98639;16
38644;3
89358;9
24238;1
86735;9
96160;9
89365;9
22946;1
87742;9
91463;9
38114;3
67061;7
32361;5
33154;5
35585;6
64683;6
78662;8
75196;8
75045;8
33161;5
69469;8
28719;4
27616;3
60594;6
61118;6
33175;5
61206;6
27245;3
63150;6
32429;5
32547;5
64395;6
64853;6
31595;3
71069;8
25774;1
71106;8
28325;4
21785;3
27412;3
71739;8
74252;8
35279;6
63679;6
25866;1
31719;3
25785;1
70806;8
63768;9
71640;8
74731;8
63857;9
71332;8
31867;3
74736;8
73230;8
91459;9
91622;9
38162;3
38319;3
38165;3
29389;3
91737;9
91586;9
86685;9
96188;9
86485;9
99100;16
86925;9
96190;9
86507;9
86179;9
91336;9
6493;15
90441;9
24867;1
73262;8
36364;6
34327;6
24819;1
73101;8
21646;3
73087;8
34286;6
73344;8
97854;9
25336;1
97959;8
92348;9
19053;13
95496;9
85077;9
85764;9
80634;9
85307;9
85391;9
85386;9
80538;9
39112;15
6638;15
95233;9
85579;9
85414;9
92237;9
83703;9
6198;15
95686;9
84091;9
83737;9
85368;9
92286;9
7919;14
39590;15
93161;9
6258;15
83075;9
85659;9
84098;9
83558;9
16866;12
83527;9
14715;15
83131;9
93197;9
6842;15
14728;12
6772;15
4639;16
4275;14
8115;14
4347;14
4299;14
8147;14
14797;12
92557;9
84550;9
8315;14
9224;14
83413;9
93476;9
94447;9
9484;14
94486;9
17109;13
18516;13
94501;9
14482;12
94551;9
94137;9
9514;14
18574;13
18569;13
9618;14
94169;9
17036;13
10713;11
10625;11
12247;11
9600;14
94481;9
99099;16
86495;9
90461;9
90489;9
82418;9
86701;9
19075;13
91355;9
95359;9
6571;16
82110;9
29491;3
91242;9
6333;15
1833;14
16306;12
1906;14
2627;14
15236;12
3149;12
2727;14
94121;9
94545;9
3238;12
1468;14
17389;13
1945;12
17449;13
55608;7
49844;3
49832;3
25488;1
25337;1
24354;1
89188;8
97797;9
88433;8
24367;1
37124;3
97297;9
24616;1
24395;1
74423;8
22549;2
21079;2
97072;9
97725;9
31084;3
24539;1
97218;9
89233;9
97440;9
24626;1
22889;1
24229;1
36452;16
21445;3
24159;1
23863;1
21441;3
29342;3
87751;9
22926;1
97506;9
38272;3
97348;9
23829;1
97640;9
21423;3
87439;9
89447;9
21391;3
22961;1
23847;1
87739;9
99974;16
91567;9
91443;9
22959;1
87653;9
64584;6
65795;6
68165;8
61350;6
68259;8
32369;5
72213;8
60529;6
68535;8
64342;6
78266;8
27711;3
32791;5
33098;5
78262;8
69250;8
63071;6
61138;6
34516;6
63179;6
28205;4
25821;1
74374;8
25870;1
28355;4
78567;8
25917;1
69412;8
21772;3
63796;9
25858;1
71701;8
70197;8
78465;8
71111;8
63843;9
36325;6
72820;8
70469;8
70439;8
25855;1
63839;9
63920;9
74354;8
63856;9
63936;9
24983;1
63927;9
72649;8
72531;8
24896;1
24988;1
31555;3
36280;6
25569;1
73277;8
49638;3
55450;7
79194;8
77749;8
79106;8
48231;5
76857;7
27498;1
56472;7
79286;8
65624;7
76831;7
65589;6
77704;8
65629;7
79837;8
65554;6
65550;6
76872;7
49179;3
65396;6
77740;8
26123;3
76456;8
35685;6
35683;6
49324;3
26931;3
77773;8
61276;6
78089;8
76597;8
67065;7
36154;6
97906;9
24991;1
97846;9
88085;8
25551;1
36391;6
97837;9
97799;9
97264;9
51709;5
44141;5
66509;7
56291;7
67744;7
56076;7
66953;7
79589;8
49699;3
56338;7
56753;7
56598;7
26605;3
6484;15
82284;9
91364;9
99428;16
91322;9
7407;16
96268;9
91349;9
39624;15
91327;9
85049;9
82340;9
82131;9
91245;9
82152;9
91282;9
93348;9
85617;9
85469;9
39319;15
7545;16
84069;9
18055;13
93173;9
83134;9
84169;9
84171;9
6729;15
93170;9
83564;9
83536;9
92431;9
8451;14
93086;9
4157;14
93191;9
8056;14
92693;9
83308;9
93488;9
93413;9
94365;9
84323;9
9322;14
94354;9
83362;9
8340;14
9117;14
9419;14
4861;14
94542;9
18573;13
14974;12
94496;9
94535;9
94148;9
14195;11
14167;11
9599;14
14059;11
94518;9
13467;11
10553;11
10623;11
94152;9
12053;11
54536;7
45892;5
45879;5
53175;5
56814;7
53113;5
48607;5
55765;7
53173;5
42107;5
42855;5
53797;5
44628;5
44803;5
56659;7
